Time,SP,Tin,Time01,hour,IncO01,Weekdays,Step,Time03,IncO,Month,days,days01
2020-11-06 11:44,23.029,22.749,11,0,,Friday,19149,11,0,November,66,0
2020-11-06 11:49,23.029,22.749,11,0,,Friday,19150,11,0,November,66,0
2020-11-06 11:54,23.029,22.749,11,0,,Friday,19151,11,0,November,66,0
2020-11-06 11:59,23.029,22.749,11,1,,Friday,19152,11,0,November,66,0
2020-11-06 12:04,23.029,22.749,12,0,,Friday,19153,12,0,November,66,0
2020-11-06 12:09,23.029,22.749,12,0,,Friday,19154,12,0,November,66,0
2020-11-06 12:14,23.029,22.749,12,0,,Friday,19155,12,0,November,66,0
2020-11-06 12:19,23.029,22.749,12,0,,Friday,19156,12,0,November,66,0
2020-11-06 12:24,23.029,22.749,12,0,,Friday,19157,12,0,November,66,0
2020-11-06 12:29,23.029,22.749,12,0,,Friday,19158,12,0,November,66,0
2020-11-06 12:34,23.029,22.749,12,0,,Friday,19159,12,0,November,66,0
2020-11-06 12:39,23.029,22.749,12,0,,Friday,19160,12,0,November,66,0
2020-11-06 12:44,23.029,22.749,12,0,,Friday,19161,12,0,November,66,0
2020-11-06 12:49,23.029,22.749,12,0,,Friday,19162,12,0,November,66,0
2020-11-06 12:54,23.029,22.749,12,0,,Friday,19163,12,0,November,66,0
2020-11-06 12:59,23.029,22.749,12,1,,Friday,19164,12,0,November,66,0
2020-11-06 13:04,23.029,22.749,13,0,,Friday,19165,13,0,November,66,0
2020-11-06 13:09,23.029,22.749,13,0,,Friday,19166,13,0,November,66,0
2020-11-06 13:14,23.029,22.749,13,0,,Friday,19167,13,0,November,66,0
2020-11-06 13:19,23.029,22.609,13,0,,Friday,19168,13,0,November,66,0
2020-11-06 13:24,23.029,22.609,13,0,,Friday,19169,13,0,November,66,0
2020-11-06 13:29,23.029,22.609,13,0,,Friday,19170,13,0,November,66,0
2020-11-06 13:34,23.029,22.609,13,0,,Friday,19171,13,0,November,66,0
2020-11-06 13:39,23.029,22.609,13,0,,Friday,19172,13,0,November,66,0
2020-11-06 13:44,23.029,22.609,13,0,,Friday,19173,13,0,November,66,0
2020-11-06 13:49,23.029,22.749,13,0,,Friday,19174,13,0,November,66,0
2020-11-06 13:54,23.029,22.749,13,0,,Friday,19175,13,0,November,66,0
2020-11-06 13:59,23.029,22.749,13,1,,Friday,19176,13,0,November,66,0
2020-11-06 14:04,23.029,22.749,14,0,,Friday,19177,14,0,November,66,0
2020-11-06 14:09,23.029,22.889,14,0,,Friday,19178,14,0,November,66,0
2020-11-06 14:14,23.029,22.889,14,0,,Friday,19179,14,0,November,66,0
2020-11-06 14:19,23.029,22.889,14,0,,Friday,19180,14,0,November,66,0
2020-11-06 14:24,23.029,22.889,14,0,,Friday,19181,14,0,November,66,0
2020-11-06 14:29,23.029,22.889,14,0,,Friday,19182,14,0,November,66,0
2020-11-06 14:34,23.029,22.889,14,0,,Friday,19183,14,0,November,66,0
2020-11-06 14:39,23.029,22.889,14,0,,Friday,19184,14,0,November,66,0
2020-11-06 14:44,23.029,23.029,14,0,,Friday,19185,14,0,November,66,0
2020-11-06 14:49,23.029,23.029,14,0,,Friday,19186,14,0,November,66,0
2020-11-06 14:54,23.029,23.029,14,0,,Friday,19187,14,0,November,66,0
2020-11-06 14:59,23.029,23.029,14,1,,Friday,19188,14,0,November,66,0
2020-11-06 15:04,23.029,23.029,15,0,,Friday,19189,15,0,November,66,0
2020-11-06 15:09,23.029,23.029,15,0,,Friday,19190,15,0,November,66,0
2020-11-06 15:14,23.029,23.029,15,0,,Friday,19191,15,0,November,66,0
2020-11-06 15:19,23.029,23.029,15,0,,Friday,19192,15,0,November,66,0
2020-11-06 15:24,23.029,23.029,15,0,,Friday,19193,15,0,November,66,0
2020-11-06 15:29,23.029,23.029,15,0,,Friday,19194,15,0,November,66,0
2020-11-06 15:34,23.029,23.029,15,0,,Friday,19195,15,0,November,66,0
2020-11-06 15:39,23.029,23.029,15,0,,Friday,19196,15,0,November,66,0
2020-11-06 15:44,23.029,23.029,15,0,,Friday,19197,15,0,November,66,0
2020-11-06 15:49,23.029,23.029,15,0,,Friday,19198,15,0,November,66,0
2020-11-06 15:54,23.029,23.169,15,0,,Friday,19199,15,0,November,66,0
2020-11-06 15:59,23.029,23.169,15,1,,Friday,19200,15,0,November,66,0
2020-11-06 16:04,23.029,23.169,16,0,,Friday,19201,16,0,November,66,0
2020-11-06 16:09,23.029,23.169,16,0,,Friday,19202,16,0,November,66,0
2020-11-06 16:14,23.029,23.169,16,0,,Friday,19203,16,0,November,66,0
2020-11-06 16:19,23.029,23.169,16,0,,Friday,19204,16,0,November,66,0
2020-11-06 16:24,23.029,23.169,16,0,,Friday,19205,16,0,November,66,0
2020-11-06 16:29,23.029,23.169,16,0,,Friday,19206,16,0,November,66,0
2020-11-06 16:34,23.029,23.169,16,0,,Friday,19207,16,0,November,66,0
2020-11-06 16:39,23.029,23.169,16,0,,Friday,19208,16,0,November,66,0
2020-11-06 16:44,23.029,23.169,16,0,,Friday,19209,16,0,November,66,0
2020-11-06 16:49,23.029,23.169,16,0,,Friday,19210,16,0,November,66,0
2020-11-06 16:54,23.029,23.169,16,0,,Friday,19211,16,0,November,66,0
2020-11-06 16:59,23.029,23.169,16,1,,Friday,19212,16,0,November,66,0
2020-11-06 17:04,23.029,23.169,17,0,,Friday,19213,17,0,November,66,0
2020-11-06 17:09,23.029,23.169,17,0,,Friday,19214,17,0,November,66,0
2020-11-06 17:14,23.029,23.169,17,0,,Friday,19215,17,0,November,66,0
2020-11-06 17:19,23.029,23.309,17,0,,Friday,19216,17,0,November,66,0
2020-11-06 17:24,23.029,23.169,17,0,,Friday,19217,17,0,November,66,0
2020-11-06 17:29,23.029,23.309,17,0,,Friday,19218,17,0,November,66,0
2020-11-06 17:34,23.029,23.309,17,0,,Friday,19219,17,0,November,66,0
2020-11-06 17:39,23.029,23.169,17,0,,Friday,19220,17,0,November,66,0
2020-11-06 17:44,23.029,23.169,17,0,,Friday,19221,17,0,November,66,0
2020-11-06 17:49,23.029,23.169,17,0,,Friday,19222,17,0,November,66,0
2020-11-06 17:54,23.029,23.169,17,0,,Friday,19223,17,0,November,66,0
2020-11-06 17:59,23.029,23.169,17,1,,Friday,19224,17,0,November,66,0
2020-11-06 18:04,22.889,23.169,18,0,,Friday,19225,18,0,November,66,0
2020-11-06 18:09,22.889,23.309,18,0,,Friday,19226,18,0,November,66,0
2020-11-06 18:14,22.889,23.169,18,0,,Friday,19227,18,0,November,66,0
2020-11-06 18:19,22.889,23.169,18,0,,Friday,19228,18,0,November,66,0
2020-11-06 18:24,22.889,23.169,18,0,,Friday,19229,18,0,November,66,0
2020-11-06 18:29,22.889,23.169,18,0,,Friday,19230,18,0,November,66,0
2020-11-06 18:34,22.889,23.169,18,0,,Friday,19231,18,0,November,66,0
2020-11-06 18:39,22.889,23.169,18,0,,Friday,19232,18,0,November,66,0
2020-11-06 18:44,22.889,23.169,18,0,,Friday,19233,18,0,November,66,0
2020-11-06 18:49,22.889,23.169,18,0,,Friday,19234,18,0,November,66,0
2020-11-06 18:54,22.889,23.169,18,0,,Friday,19235,18,0,November,66,0
2020-11-06 18:59,22.889,23.169,18,1,,Friday,19236,18,0,November,66,0
2020-11-06 19:04,22.889,23.169,19,0,,Friday,19237,19,0,November,66,0
2020-11-06 19:09,22.889,23.169,19,0,,Friday,19238,19,0,November,66,0
2020-11-06 19:14,22.889,23.169,19,0,,Friday,19239,19,0,November,66,0
2020-11-06 19:19,22.889,23.169,19,0,,Friday,19240,19,0,November,66,0
2020-11-06 19:24,22.889,23.169,19,0,,Friday,19241,19,0,November,66,0
2020-11-06 19:29,22.889,23.169,19,0,,Friday,19242,19,0,November,66,0
2020-11-06 19:34,22.889,23.169,19,0,,Friday,19243,19,0,November,66,0
2020-11-06 19:39,22.889,23.169,19,0,,Friday,19244,19,0,November,66,0
2020-11-06 19:44,22.889,23.169,19,0,,Friday,19245,19,0,November,66,0
2020-11-06 19:49,22.889,23.169,19,0,,Friday,19246,19,0,November,66,0
2020-11-06 19:54,22.889,23.169,19,0,,Friday,19247,19,0,November,66,0
2020-11-06 19:59,22.889,23.169,19,1,,Friday,19248,19,0,November,66,0
2020-11-06 20:04,22.889,23.169,20,0,,Friday,19249,20,0,November,66,0
2020-11-06 20:09,22.889,23.169,20,0,,Friday,19250,20,0,November,66,0
2020-11-06 20:14,22.889,23.169,20,0,,Friday,19251,20,0,November,66,0
2020-11-06 20:19,22.889,23.169,20,0,,Friday,19252,20,0,November,66,0
2020-11-06 20:24,22.889,23.169,20,0,,Friday,19253,20,0,November,66,0
2020-11-06 20:29,22.889,23.169,20,0,,Friday,19254,20,0,November,66,0
2020-11-06 20:34,22.889,23.169,20,0,,Friday,19255,20,0,November,66,0
2020-11-06 20:39,22.889,23.169,20,0,,Friday,19256,20,0,November,66,0
2020-11-06 20:44,22.889,23.169,20,0,,Friday,19257,20,0,November,66,0
2020-11-06 20:49,22.889,23.169,20,0,,Friday,19258,20,0,November,66,0
2020-11-06 20:54,22.889,23.169,20,0,,Friday,19259,20,0,November,66,0
2020-11-06 20:59,22.889,23.169,20,1,,Friday,19260,20,0,November,66,0
2020-11-06 21:04,22.889,23.169,21,0,,Friday,19261,21,0,November,66,0
2020-11-06 21:09,22.889,23.169,21,0,,Friday,19262,21,0,November,66,0
2020-11-06 21:14,22.889,23.169,21,0,,Friday,19263,21,0,November,66,0
2020-11-06 21:19,22.889,23.169,21,0,,Friday,19264,21,0,November,66,0
2020-11-06 21:24,22.889,23.169,21,0,,Friday,19265,21,0,November,66,0
2020-11-06 21:29,22.889,23.169,21,0,,Friday,19266,21,0,November,66,0
2020-11-06 21:34,22.889,23.169,21,0,,Friday,19267,21,0,November,66,0
2020-11-06 21:39,22.889,23.169,21,0,,Friday,19268,21,0,November,66,0
2020-11-06 21:44,22.889,23.169,21,0,,Friday,19269,21,0,November,66,0
2020-11-06 21:49,22.889,23.169,21,0,,Friday,19270,21,0,November,66,0
2020-11-06 21:54,22.889,23.169,21,0,,Friday,19271,21,0,November,66,0
2020-11-06 21:59,22.889,23.169,21,1,,Friday,19272,21,0,November,66,0
2020-11-06 22:04,22.889,23.169,22,0,,Friday,19273,22,0,November,66,0
2020-11-06 22:09,22.889,23.169,22,0,,Friday,19274,22,0,November,66,0
2020-11-06 22:14,22.889,23.169,22,0,,Friday,19275,22,0,November,66,0
2020-11-06 22:19,22.889,23.169,22,0,,Friday,19276,22,0,November,66,0
2020-11-06 22:24,22.889,23.169,22,0,,Friday,19277,22,0,November,66,0
2020-11-06 22:29,22.889,23.169,22,0,,Friday,19278,22,0,November,66,0
2020-11-06 22:34,22.889,23.169,22,0,,Friday,19279,22,0,November,66,0
2020-11-06 22:39,22.889,23.169,22,0,,Friday,19280,22,0,November,66,0
2020-11-06 22:44,22.889,23.169,22,0,,Friday,19281,22,0,November,66,0
2020-11-06 22:49,22.889,23.169,22,0,,Friday,19282,22,0,November,66,0
2020-11-06 22:54,22.889,23.169,22,0,,Friday,19283,22,0,November,66,0
2020-11-06 22:59,22.889,23.169,22,1,,Friday,19284,22,0,November,66,0
2020-11-06 23:04,22.889,23.169,23,0,,Friday,19285,23,0,November,66,0
2020-11-06 23:09,22.889,23.169,23,0,,Friday,19286,23,0,November,66,0
2020-11-06 23:14,22.889,23.169,23,0,,Friday,19287,23,0,November,66,0
2020-11-06 23:19,22.889,23.169,23,0,,Friday,19288,23,0,November,66,0
